epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9681,2.66231,4.26647,2.33322,0.0049,0.11111,0.00666,0.00309,2.63375,4.40652,2.34433,0,0,0
2,14.5463,2.65188,4.383,2.38689,0.00483,0.11111,0.00655,0.00262,2.6246,4.4109,2.34402,9.835e-06,9.835e-06,9.835e-06
3,15.0919,2.47287,4.25059,2.24113,0.00457,0.11111,0.00675,0.00215,2.628,4.40584,2.33705,1.934e-05,1.934e-05,1.934e-05
4,15.7704,2.58574,4.26662,2.26115,0.00466,0.11111,0.01468,0.00378,2.62646,4.39291,2.34478,2.8515e-05,2.8515e-05,2.8515e-05
5,16.3769,2.5603,4.39344,2.19706,0.00447,0.11111,0.01265,0.00416,2.57834,4.42277,2.34358,3.736e-05,3.736e-05,3.736e-05
6,17.1407,2.49871,4.19417,2.31566,0.00455,0.16667,0.0184,0.00468,2.63672,4.32007,2.32951,4.5875e-05,4.5875e-05,4.5875e-05
7,18.1098,2.49834,4.16235,2.21303,0.00234,0.11111,0.01285,0.00555,2.58119,4.2121,2.3,5.406e-05,5.406e-05,5.406e-05
8,18.9397,2.29967,3.96465,2.02148,0.00209,0.11111,0.0193,0.00646,2.52205,4.11619,2.23119,6.1915e-05,6.1915e-05,6.1915e-05
9,19.8157,2.5372,3.86407,2.283,0.00204,0.11111,0.02098,0.00732,2.49166,4.12265,2.22452,6.944e-05,6.944e-05,6.944e-05
10,20.5846,2.18112,3.59497,1.9638,0.01022,0.27778,0.02205,0.00729,2.53814,3.97414,2.21536,7.6635e-05,7.6635e-05,7.6635e-05
11,21.234,2.2585,3.55267,1.92034,0.71493,0.11111,0.03039,0.00984,2.55052,3.84024,2.1876,8.35e-05,8.35e-05,8.35e-05
12,21.9017,2.20968,3.42553,1.96693,0.74174,0.16667,0.05812,0.0186,2.47012,3.78434,2.16609,9.0035e-05,9.0035e-05,9.0035e-05
13,22.5665,1.82933,2.94512,1.75326,0.76435,0.16667,0.06589,0.02197,2.40637,3.90658,2.09014,9.624e-05,9.624e-05,9.624e-05
14,23.2265,2.09416,3.00543,1.93222,0.76189,0.16667,0.07877,0.03034,2.47121,4.34391,2.05497,0.000102115,0.000102115,0.000102115
15,26.6914,2.14771,2.89113,2.00095,0.72854,0.16667,0.06425,0.026,2.45766,5.30969,2.0987,0.00010766,0.00010766,0.00010766
16,27.2975,2.01783,2.75231,1.87472,0.72985,0.22222,0.10127,0.04415,2.45525,6.12662,2.13575,0.000112875,0.000112875,0.000112875
17,27.9584,1.75108,2.36843,1.71916,0.74838,0.22222,0.10365,0.03781,2.47667,6.37285,2.12915,0.00011776,0.00011776,0.00011776
18,28.5174,1.92144,2.49083,1.76835,0.74838,0.22222,0.10365,0.03781,2.47667,6.37285,2.12915,0.000122315,0.000122315,0.000122315
19,30.2153,2.11183,2.51068,1.96612,0.77879,0.22222,0.10018,0.03127,2.57987,5.98941,2.26101,0.00012654,0.00012654,0.00012654
20,31.0658,2.05765,2.33796,1.80784,0.77879,0.22222,0.10018,0.03127,2.57987,5.98941,2.26101,0.000130435,0.000130435,0.000130435
21,31.9194,2.08283,2.48719,1.90709,0.79666,0.17864,0.14389,0.03304,2.60111,5.31775,2.30083,0.000134,0.000134,0.000134
22,32.5145,1.88552,2.37667,1.79488,0.79666,0.17864,0.14389,0.03304,2.60111,5.31775,2.30083,0.000137235,0.000137235,0.000137235
23,33.1522,1.84076,2.06801,1.76825,0.48452,0.16667,0.13161,0.02708,2.63333,5.23225,2.31056,0.00014014,0.00014014,0.00014014
24,33.7328,1.75499,2.25044,1.67571,0.48452,0.16667,0.13161,0.02708,2.63333,5.23225,2.31056,0.000142715,0.000142715,0.000142715
25,34.3666,1.81741,2.01203,1.72243,0.431,0.17778,0.09754,0.02496,2.65832,5.44949,2.39055,0.00014496,0.00014496,0.00014496
